"delGcox0"	"delGd0"	"delGd"	"delGcat0"	"delGcat"	"delGan0_O2"	"delGan_O2"	"delGdis_O2"	"lambda_O2"	"stoichD_donor"	"stoichD_h2o"	"stoichD_hco3"	"stoichD_nh4"	"stoichD_hpo4"	"stoichD_hs"	"stoichD_h"	"stoichD_e"	"stoichD_acceptor"	"stoichD_biom"	"stoichA_donor"	"stoichA_h2o"	"stoichA_hco3"	"stoichA_nh4"	"stoichA_hpo4"	"stoichA_hs"	"stoichA_h"	"stoichA_e"	"stoichA_acceptor"	"stoichA_biom"	"stoichCat_donor"	"stoichCat_h2o"	"stoichCat_hco3"	"stoichCat_nh4"	"stoichCat_hpo4"	"stoichCat_hs"	"stoichCat_h"	"stoichCat_e"	"stoichCat_acceptor"	"stoichCat_biom"	"stoichAn_O2_donor"	"stoichAn_O2_h2o"	"stoichAn_O2_hco3"	"stoichAn_O2_nh4"	"stoichAn_O2_hpo4"	"stoichAn_O2_hs"	"stoichAn_O2_h"	"stoichAn_O2_e"	"stoichAn_O2_acceptor"	"stoichAn_O2_biom"	"stoichMet_O2_donor"	"stoichMet_O2_h2o"	"stoichMet_O2_hco3"	"stoichMet_O2_nh4"	"stoichMet_O2_hpo4"	"stoichMet_O2_hs"	"stoichMet_O2_h"	"stoichMet_O2_e"	"stoichMet_O2_acceptor"	"stoichMet_O2_biom"	"formula"
125.85	1258.5	-2137.57668519391	-6473.175	-7352.15955381489	-189.0725	-245.007880697312	465.116279069768	0.029937924600432	-1	-50	10	2	7	0	85	63	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-18.5	10	2	7	0	22	0	-15.75	0	-0.1	-1.45	0	0	0.7	0	1.4	0	-0.525	1	-0.129937924600432	-2.00385160510799	0.29937924600432	0.059875849200864	0.909565472203024	0	2.0586343412095	0	-0.996522312456804	1	"C10H10N2O8S7"
168.6	1686	-2309.38433552224	-7886.55	-8765.53455381489	-330.41	-386.345380697311	465.116279069767	0.00898643407185862	-1	-53	10	0	6	0	100	78	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-14	10	0	6	0	22	0	-19.5	0	-0.1	-1	0	-0.2	0.6	0	1.4	0	-0.9	1	-0.108986434071859	-1.12581007700602	0.0898643407185862	-0.2	0.653918604431152	0	1.59770154958089	0	-1.07523546440124	1	"C10H10OS6"
117.3	1173	-2063.26131177302	-6190.5	-7029.53071045967	-160.805	-212.744996361789	465.116279069767	0.0359015833492924	-1	-45	10	1	6	0	81	60	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-15	10	1	6	0	21	0	-15	0	-0.1	-1.1	0	-0.1	0.6	0	1.3	0	-0.45	1	-0.135901583349292	-1.63852375023939	0.359015833492924	-0.0640984166507076	0.815409500095754	0	2.05393325033514	0	-0.988523750239386	1	"C10H11NO9S6"
48.9	489	-1268.96910762979	-3929.1	-4248.73074684178	-0.15000000000002	-5.47717911402965	465.116279069768	0.108182684981251	-1	-25	10	2	0	0	44	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	2	0	0	8	0	-9	0	-0.116666666666667	-0.416666666666666	0.166666666666666	0.0333333333333333	0	0	0.133333333333333	0	0	1	-0.224849351647917	-1.17394546153542	1.24849351647917	0.249698703295835	0	0	0.998794813183338	0	-0.973644164831255	1	"C10H12N2O5"
37.5	375	-1223.1537342089	-3552.2	-3871.83074684178	-7.98124999999987	-17.9697108388054	465.116279069767	0.115487116423076	-1	-23	10	2	0	0	40	32	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	2	0	0	8	0	-8	0	-0.13125	-0.51875	0.3125	0.0624999999999999	0	0	0.249999999999999	0	0	1	-0.246737116423076	-1.32715981496153	1.46737116423076	0.293474232846152	0	0	1.17389693138461	0	-0.923896931384608	1	"C10H12N2O7"
66	660	-1417.59985447157	-4494.45	-4893.98843355222	8.7999999999999	0.809231328955442	468.683636864422	0.0959325659567616	-1	-25	10	0	0	0	52	42	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	0	0	0	10	0	-10.5	0	-0.1	4.44089209850063e-16	0	-0.2	0	0	0.199999999999999	0	-2.22044604925031e-16	1	-0.195932565956762	-0.383730263827046	0.959325659567616	-0.2	0	0	1.15932565956762	0	-1.007291942546	1	"C10H12O5"
162.9	1629	-2446.29202223269	-7698.1	-8736.89992723578	-311.565	-383.4819180394	465.116279069767	0.00934363008735925	-1	-54	10	0	8	0	102	76	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-16	10	0	8	0	26	0	-19	0	-0.1	-1.2	0	-0.2	0.8	0	1.8	0	-0.85	1	-0.109343630087359	-1.34949808139775	0.0934363008735924	-0.2	0.874749040698874	0	2.04293438227134	0	-1.02752897165983	1	"C10H12O8S8"
60.3	603	-1634.41522789246	-4306	-4945.26149368356	6.11500000000008	-29.0443821525956	465.116279069767	0.0881797448879405	-1	-29	10	0	2	2	56	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-9	10	0	2	2	16	0	-10	0	-0.105	-0.545	0.0499999999999998	-0.2	0.21	0.21	0.879999999999999	0	0	1	-0.19317974488794	-1.33861770399146	0.931797448879405	-0.2	0.386359489775881	0.386359489775881	2.29087591820705	0	-0.881797448879405	1	"C10H12O9S2P2"
46.05	460.5	-1497.2383244059	-3834.875	-4394.22880697311	-1.94	-37.0993821525957	465.116279069767	0.097404326383269	-1	-25	10	0	1	2	49	35	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7.5	10	0	1	2	14	0	-8.75	0	-0.12	-0.5	0.2	-0.2	0.12	0.24	0.879999999999999	0	0	1	-0.217404326383269	-1.23053244787452	1.17404326383269	-0.2	0.217404326383269	0.434808652766538	2.24366056936576	0	-0.852287855853603	1	"C10H12O9SP2"
160.05	1600.5	-2195.11511874613	-7603.875	-8402.95186710445	-302.1425	-350.087112026267	465.116279069767	0.0136891379199508	-1	-49	10	0	5	0	95	75	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-11.5	10	0	5	0	20	0	-18.75	0	-0.1	-0.75	0	-0.2	0.5	0	1.2	0	-0.825	1	-0.113689137919951	-0.907425086079434	0.136891379199508	-0.2	0.568445689599754	0	1.47378275839901	0	-1.08167133599908	1	"C10H12OS5"
137.25	1372.5	-2223.34590197002	-6850.075	-7769.01339717011	-226.7625	-286.693265032834	465.116279069768	0.0229659809959814	-1	-49	10	1	7	0	90	67	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-15.5	10	1	7	0	23	0	-16.75	0	-0.1	-1.15	0	-0.1	0.7	0	1.5	0	-0.625	1	-0.122965980995981	-1.50597270543771	0.229659809959814	-0.0770340190040186	0.86076186697187	0	2.02821756290757	0	-1.00968018168269	1	"C10H13NO9S7"
54.6	546	-1291.87679434023	-4117.55	-4437.18074684178	3.1473684210526	-0.217165756229256	465.116279069767	0.104773535232802	-1	-25	10	2	0	0	46	38	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6	10	2	0	0	8	0	-9.5	0	-0.110526315789474	-0.263157894736841	0.105263157894737	0.0210526315789473	0	0	0.0842105263157888	0	0	1	-0.215299851022276	-0.891799106133654	1.15299851022276	0.230599702044551	0	0	0.922398808178205	0	-0.99534858471162	1	"C10H14N2O5"
37.5	375	-1223.1537342089	-3552.2	-3871.83074684178	-7.98124999999992	-17.9697108388055	465.116279069767	0.115487116423076	-1	-22	10	2	0	0	40	32	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6	10	2	0	0	8	0	-8	0	-0.13125	-0.3875	0.3125	0.0624999999999999	0	0	0.249999999999999	0	0	1	-0.246737116423076	-1.08042269853846	1.46737116423076	0.293474232846152	0	0	1.17389693138461	0	-0.923896931384608	1	"C10H14N2O8"
34.65	346.5	-1451.42295098501	-3457.975	-4017.32880697311	-10.2548387096774	-54.07518303476	465.116279069767	0.102317016053438	-1	-22	10	0	1	2	45	31	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6.5	10	0	1	2	14	0	-7.75	0	-0.135483870967742	-0.480645161290322	0.354838709677419	-0.2	0.135483870967742	0.270967741935484	1.09677419354839	0	0	1	-0.23780088702118	-1.14570576563767	1.3780088702118	-0.2	0.23780088702118	0.47560177404236	2.52921241829652	0	-0.792956874414145	1	"C10H14O12SP2"
60.3	603	-1434.64601111634	-4306	-4745.49227690745	6.11500000000017	-8.06861439110378	465.116279069767	0.0963119604899059	-1	-24	10	0	0	1	51	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	0	0	1	11	0	-10	0	-0.105	-0.0199999999999999	0.0499999999999998	-0.2	0	0.105	0.355	0	0	1	-0.201311960489906	-0.405247841959624	1.01311960489906	-0.2	0	0.201311960489906	1.41443156538896	0	-0.963119604899059	1	"C10H14O6P"
103.05	1030.5	-1806.22287822079	-5719.375	-6358.63649368356	-113.6925	-145.655574684178	465.116279069767	0.0502404414378665	-1	-35	10	0	3	0	71	55	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7.5	10	0	3	0	16	0	-13.75	0	-0.1	-0.35	0	-0.2	0.3	0	0.8	0	-0.325	1	-0.150240441437866	-0.726803310783998	0.502404414378665	-0.2	0.450721324313599	0	1.60384706300586	0	-1.01580606977066	1	"C10H14O7S3"
145.8	1458	-2217.75358868046	-7132.75	-8011.73455381489	-255.03	-310.965380697312	465.116279069767	0.0192406397562254	-1	-47	10	0	6	0	92	70	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-12	10	0	6	0	22	0	-17.5	0	-0.1	-0.8	0	-0.2	0.6	0	1.4	0	-0.7	1	-0.119240639756225	-1.03088767707471	0.192406397562254	-0.2	0.715443838537353	0	1.82329407463696	0	-1.03671119573395	1	"C10H14O7S6"
