"delGcox0"	"delGd0"	"delGd"	"delGcat0"	"delGcat"	"delGan0_O2"	"delGan_O2"	"delGdis_O2"	"lambda_O2"	"stoichD_donor"	"stoichD_h2o"	"stoichD_hco3"	"stoichD_nh4"	"stoichD_hpo4"	"stoichD_hs"	"stoichD_h"	"stoichD_e"	"stoichD_acceptor"	"stoichD_biom"	"stoichA_donor"	"stoichA_h2o"	"stoichA_hco3"	"stoichA_nh4"	"stoichA_hpo4"	"stoichA_hs"	"stoichA_h"	"stoichA_e"	"stoichA_acceptor"	"stoichA_biom"	"stoichCat_donor"	"stoichCat_h2o"	"stoichCat_hco3"	"stoichCat_nh4"	"stoichCat_hpo4"	"stoichCat_hs"	"stoichCat_h"	"stoichCat_e"	"stoichCat_acceptor"	"stoichCat_biom"	"stoichAn_O2_donor"	"stoichAn_O2_h2o"	"stoichAn_O2_hco3"	"stoichAn_O2_nh4"	"stoichAn_O2_hpo4"	"stoichAn_O2_hs"	"stoichAn_O2_h"	"stoichAn_O2_e"	"stoichAn_O2_acceptor"	"stoichAn_O2_biom"	"stoichMet_O2_donor"	"stoichMet_O2_h2o"	"stoichMet_O2_hco3"	"stoichMet_O2_nh4"	"stoichMet_O2_hpo4"	"stoichMet_O2_hs"	"stoichMet_O2_h"	"stoichMet_O2_e"	"stoichMet_O2_acceptor"	"stoichMet_O2_biom"	"formula"
37.5	375	-1343.01526427456	-3552.2	-3991.69227690745	-7.98124999999992	-33.7015366599243	465.116279069767	0.108078156451499	-1	-22	10	0	0	1	43	32	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6	10	0	0	1	11	0	-8	0	-0.13125	-0.3875	0.3125	-0.2	0	0.13125	0.643749999999999	0	0	1	-0.239328156451499	-1.03596893870899	1.39328156451499	-0.2	0	0.239328156451499	1.83260972096649	0	-0.864625251611992	1	"C10H10O8P"
31.8	318	-1320.10757756412	-3363.75	-3803.24227690745	-12.68	-42.2458440828645	465.116279069767	0.111186825397501	-1	-21	10	0	0	1	41	30	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6	10	0	0	1	11	0	-7.5	0	-0.14	-0.44	0.4	-0.2	0	0.14	0.739999999999999	0	0	1	-0.251186825397501	-1.10712095238501	1.51186825397501	-0.2	0	0.251186825397501	1.96305507937251	0	-0.833901190481259	1	"C10H10O9P"
168.6	1686	-2309.38433552224	-7886.55	-8765.53455381489	-330.41	-386.345380697311	465.116279069767	0.00898643407185862	-1	-53	10	0	6	0	100	78	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-14	10	0	6	0	22	0	-19.5	0	-0.1	-1	0	-0.2	0.6	0	1.4	0	-0.9	1	-0.108986434071859	-1.12581007700602	0.0898643407185862	-0.2	0.653918604431152	0	1.59770154958089	0	-1.07523546440124	1	"C10H10OS6"
63.15	631.5	-1446.09985447157	-4400.225	-4839.71727690745	7.49024390243912	-5.56784148682864	465.116279069767	0.0949535708987918	-1	-28	10	1	1	0	52	41	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7.5	10	1	1	0	11	0	-10.25	0	-0.102439024390244	-0.368292682926829	0.0243902439024387	-0.0975609756097561	0.102439024390244	0	0.326829268292682	0	0	1	-0.197392595289036	-1.08044446466777	0.973925952890357	-0.00260740471096432	0.197392595289036	0	1.37131854817939	0	-0.973274101712616	1	"C10H11NO6S"
48.9	489	-1268.96910762979	-3929.1	-4248.73074684178	-0.15000000000002	-5.47717911402965	465.116279069768	0.108182684981251	-1	-25	10	2	0	0	44	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	2	0	0	8	0	-9	0	-0.116666666666667	-0.416666666666666	0.166666666666666	0.0333333333333333	0	0	0.133333333333333	0	0	1	-0.224849351647917	-1.17394546153542	1.24849351647917	0.249698703295835	0	0	0.998794813183338	0	-0.973644164831255	1	"C10H12N2O5"
43.2	432	-1246.06142091934	-3740.65	-4060.28074684178	-3.83529411764688	-11.3560175727475	465.116279069767	0.111755883346237	-1	-24	10	2	0	0	42	34	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	2	0	0	8	0	-8.5	0	-0.123529411764706	-0.464705882352941	0.235294117647059	0.0470588235294117	0	0	0.188235294117646	0	0	1	-0.235285295110942	-1.2469970657766	1.35285295110942	0.270570590221885	0	0	1.08228236088754	0	-0.94992500844301	1	"C10H12N2O6"
37.5	375	-1223.1537342089	-3552.2	-3871.83074684178	-7.98124999999987	-17.9697108388054	465.116279069767	0.115487116423076	-1	-23	10	2	0	0	40	32	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-7	10	2	0	0	8	0	-8	0	-0.13125	-0.51875	0.3125	0.0624999999999999	0	0	0.249999999999999	0	0	1	-0.246737116423076	-1.32715981496153	1.46737116423076	0.293474232846152	0	0	1.17389693138461	0	-0.923896931384608	1	"C10H12N2O7"
51.75	517.5	-1360.33063769545	-4023.325	-4422.86343355222	1.54324324324331	-11.8466934487771	465.116279069767	0.102483287677944	-1	-27	10	2	1	0	47	37	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-8.5	10	2	1	0	10	0	-9.25	0	-0.113513513513513	-0.564864864864864	0.135135135135135	0.027027027027027	0.113513513513513	0	0.335135135135134	0	0	1	-0.215996801191457	-1.43597281012739	1.15996801191457	0.231993602382914	0.215996801191457	0	1.35996801191457	0	-0.947970411020979	1	"C10H12N2O7S"
66	660	-1417.59985447157	-4494.45	-4893.98843355222	8.7999999999999	0.809231328955442	468.683636864422	0.0959325659567616	-1	-25	10	0	0	0	52	42	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	0	0	0	10	0	-10.5	0	-0.1	4.44089209850063e-16	0	-0.2	0	0	0.199999999999999	0	-2.22044604925031e-16	1	-0.195932565956762	-0.383730263827046	0.959325659567616	-0.2	0	0	1.15932565956762	0	-1.007291942546	1	"C10H12O5"
48.9	489	-1388.83063769545	-3929.1	-4368.59227690745	-0.149999999999864	-19.4610242883573	465.116279069768	0.102013469450368	-1	-23	10	0	0	1	47	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-5	10	0	0	1	11	0	-9	0	-0.116666666666667	-0.183333333333333	0.166666666666666	-0.2	0	0.116666666666667	0.483333333333333	0	0	1	-0.218680136117034	-0.693400680585172	1.18680136117034	-0.2	0	0.218680136117034	1.60548149728738	0	-0.91812122505331	1	"C10H12O7P"
